name,year,Price,kms_driven,fuel_type,transmission,owner
Maruti Suzuki Swift Dzire Tour VDi,2017,"6,50,000","41,800 kms",Diesel,Automatic,First Owner
Tata Sumo Gold LX BS IV,2014,"2,75,000","1,16,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2009,"2,10,000","59,000 kms",Petrol,Manual,Second Owner
Mahindra Scorpio 2.6 SLX,2004,"1,75,000","58,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Omni 8 STR BS III,2009,85000,"45,000 kms",Petrol,Manual,Second Owner
Mitsubishi Pajero Sport Limited Edition,2015,"14,90,000","42,590 kms",Diesel,Manual,First Owner
Renault Duster,2014,"8,00,000","7,400 kms",Diesel,Manual,Second Owner
Volkswagen Jetta Comfortline 1.9 TDI AT,2009,"4,50,000","54,500 kms",Diesel,Manual,First Owner
Maruti Suzuki Ertiga Vxi,2012,"10,00,000","2,00,000 kms",Diesel,Manual,Fourth & Above Owner
Audi A4 2.0 TDI 177bhp Premium,2013,"15,10,000","27,000 kms",Diesel,Manual,Fourth & Above Owner
Volvo S80 Summum D4,2015,"18,50,000","42,000 kms",Diesel,Manual,Second Owner
Toyota Corolla Altis VL AT Petrol,2014,"7,90,000","29,000 kms",Petrol,Manual,First Owner
Mitsubishi Pajero Sport 2.5 AT,2015,"17,25,000","37,000 kms",Diesel,Manual,First Owner
Chevrolet Beat LT Petrol,2012,"1,35,000","36,000 kms",Petrol,Manual,Second Owner
BMW X1,2011,"10,00,000","34,000 kms",Diesel,Manual,First Owner
Datsun Redi GO S,2018,"2,99,999","7,000 kms",Petrol,Manual,Second Owner
Mercedes Benz C Class C 220 CDI Avantgarde,2009,"12,25,000","76,000 kms",Diesel,Manual,First Owner
Mahindra Scorpio SLX,2004,"1,75,000","60,000 kms",Diesel,Manual,Second Owner
Volkswagen Vento Comfortline Diesel,2011,"2,00,000","95,000 kms",Diesel,Manual,First Owner
Tata Indigo CS GLS,2017,"2,70,000","50,000 kms",Diesel,Manual,Second Owner
Ford Figo Petrol Titanium,2019,"5,25,000",00 kms,Petrol,Manual,Second Owner
Honda City ZX GXi,2006,"1,80,000","50,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Wagon R Duo Lxi,2008,"1,40,000","68,000 kms",Petrol,Manual,Second Owner
Ford EcoSport Trend 1.5L TDCi,2014,"4,00,000","16,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Swift Dzire VDi,2016,"4,99,000","51,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Omni 8 STR BS III,2009,85000,"56,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Zen LX BSII,2004,70000,"1,00,000 kms",Petrol,Manual,Second Owner
Renault Duster RxL Petrol,2015,"5,50,000","36,000 kms",Petrol,Manual,Third Owner
Maruti Suzuki Swift VXi 1.2 BS IV,2014,"3,70,000","11,523 kms",Petrol,Manual,Second Owner
Maruti Suzuki Baleno Zeta 1.2,2018,"6,90,000","1,000 kms",Petrol,Manual,Second Owner
Honda WR V S MT Petrol,2009,"2,50,000","60,000 kms",Petrol,Manual,First Owner
Tata Indigo CS eLX BS IV,2016,"1,10,000","85,000 kms",Diesel,Manual,First Owner
Renault Duster 110 PS RxL Diesel,2013,"4,90,000","38,600 kms",Diesel,Manual,First Owner
Mahindra Scorpio LX BS III,2009,"3,20,000","95,500 kms",Diesel,Manual,Second Owner
Maruti Suzuki Zen LXi BS III,2004,68000,"56,000 kms",Petrol,Automatic,Second Owner
Maruti Suzuki Wagon R LXi BS III,2014,"1,30,000","37,458 kms",Petrol,Manual,First Owner
Maruti Suzuki SX4 Celebration Diesel,2016,"9,70,000","85,960 kms",Diesel,Manual,First Owner
Audi A3 Cabriolet 40 TFSI,2015,"31,00,000","12,516 kms",Petrol,Manual,First Owner
Hyundai Eon D Lite Plus,2018,"2,80,000","35,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Zen Estilo LXI Green CNG,2009,"1,25,000",00 kms,Petrol,Manual,Second Owner
Mahindra Scorpio SLX,2008,"2,85,000","80,000 kms",Diesel,Manual,First Owner
I want to sell my commercial car due t,o...,"4,75,000",,,Manual,Second Owner
Hyundai Santro AE GLS Audio,2011,"1,65,000","45,000 kms",Petrol,Manual,First Owner
i want sale my car.no emi....uber atta,d...,"3,20,000",,,Manual,Second Owner
Maruti Suzuki Swift Dzire Tour VDi,2009,"2,50,000","51,000 kms",Diesel,Manual,Third Owner
Mahindra Scorpio S4,2015,"8,65,000","30,000 kms",Diesel,Manual,Third Owner
Tata ZEST 6 month old,car,"3,70,000",,,Manual,Second Owner
Mahindra Xylo D2 BS IV,2011,"3,90,000","48,000 kms",Diesel,Manual,First Owner
Hyundai Santro,2003,60000,"51,000 kms",Petrol,Manual,Second Owner
Chevrolet Beat LT Diesel,2015,"2,15,000","90,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift Dzire VDi,2015,"4,75,000","43,000 kms",Diesel,Manual,First Owner
Mahindra XUV500 W8,2015,"8,99,000","53,000 kms",Diesel,Manual,Second Owner
Toyota Fortuner 3.0 4x4 MT,2013,"14,99,000","97,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Alto K10 VXi,2013,"2,40,000","20,000 kms",Petrol,Manual,Third Owner
Hyundai Getz GLE,2007,99000,"55,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Swift Dzire Tour LDi,2014,"2,60,000","1,20,000 kms",Diesel,Automatic,First Owner
Hyundai Creta 1.6 SX,2019,"12,00,000",0 kms,Petrol,Manual,First Owner
Hyundai Santro Xing XL AT eRLX Euro III,2007,"1,15,000","46,000 kms",Petrol,Manual,Second Owner
Hyundai Santro Xing XL eRLX Euro III,2009,88000,"43,200 kms",Petrol,Manual,Fourth & Above Owner
Mahindra Xylo D2 BS IV,2011,"3,90,000","56,000 kms",Diesel,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2007,"1,35,000","42,000 kms",Petrol,Manual,First Owner
Tata Indica V2 DLS BS III,2009,90000,"30,600 kms",Diesel,Manual,Third Owner
Hyundai i10 Sportz 1.2,2011,"2,20,000","38,000 kms",Petrol,Manual,Third Owner
Hyundai Grand i10 Magna 1.2 Kappa VTVT,2017,"4,24,999","2,550 kms",Petrol,Manual,Third Owner
Hyundai Santro Xing XL AT eRLX Euro III,2007,"1,35,000","47,000 kms",Petrol,Manual,First Owner
Honda City 1.5 E MT,2005,95000,"41,000 kms",Petrol,Manual,First Owner
Nissan Micra XL,2017,"4,30,000","62,500 kms",Diesel,Manual,First Owner
Honda City 1.5 S Inspire,2005,"1,15,000","68,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Alto 800 Lxi,2015,"2,15,000","50,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Wagon R LX BS III,2004,53000,"69,000 kms",Petrol,Manual,Third Owner
Maruti Suzuki Ertiga VDi,2012,"5,00,000","48,000 kms",Diesel,Manual,Third Owner
Tata Indica eV2 eXeta eGLX,2012,85000,"55,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Omni E 8 STR BS IV,2013,"1,65,000","25,000 kms",Petrol,Manual,First Owner
Hyundai Eon Era Plus,2014,"2,00,000","28,400 kms",Petrol,Manual,Second Owner
Hyundai Eon,2014,"2,00,000","28,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Swift LDi,2015,"4,25,000","42,000 kms",Diesel,Manual,Second Owner
MARUTI SUZUKI ERTIGA F,SALE,"6,50,000",,,Manual,Second Owner
Hyundai Verna 1.6 CRDI SX Plus AT,2012,"6,00,000","29,000 kms",Diesel,Manual,Second Owner
Chevrolet Tavera LS B3 10 Seats BSII,2005,"1,30,000","68,485 kms",Diesel,Manual,Fourth & Above Owner
Tata Tiago Revotron XM,2018,"4,30,000","3,500 kms",Petrol,Manual,Second Owner
Tata Tiago Revotorq XZ,2019,"5,68,500",0 kms,Petrol,Manual,Fourth & Above Owner
Tata Nexon,2019,Ask For Price,0 kms,Petrol,Manual,First Owner
Tata,digo,Ask For Price,,,Manual,First Owner
Maruti Suzuki Zen LXi BS III,2006,71000,"32,000 kms",Petrol,Manual,First Owner
Mahindra KUV100 K8 D 6 STR,2018,"5,60,000","8,000 kms",Diesel,Manual,Second Owner
Ford EcoSport Titanium 1.5 TDCi,2014,"5,90,000","34,000 kms",Diesel,Manual,Second Owner
Hindustan Motors Ambassador Classic Mark 4 – Befo,1995,"7,50,000","37,000 kms",Petrol,Manual,Second Owner
Ford Fusion 1.4 TDCi Diesel,2007,"1,25,000","85,455 kms",Diesel,Manual,Second Owner
Hyundai Santro Xing XL AT eRLX Euro III,2007,"1,35,000","46,000 kms",Petrol,Manual,Fourth & Above Owner
Hyundai Santro,2002,60000,"47,000 kms",Petrol,Manual,First Owner
Fiat Linea Emotion 1.4 L T Jet Petrol,2009,"1,20,000","64,000 kms",Petrol,Manual,First Owner
Ford Ikon 1.3 Flair Josh 100,2008,95000,"46,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Omni E 8 STR BS IV,2017,"2,40,000","8,000 kms",Petrol,Manual,Second Owner
Tata Indica V2 LS,2012,"1,15,000","64,000 kms",Diesel,Manual,Fourth & Above Owner
Mahindra Scorpio S4,2015,"7,95,000","63,000 kms",Diesel,Automatic,Second Owner
Hyundai Santro Xing XL eRLX Euro III,2007,55000,"65,000 kms",Petrol,Manual,First Owner
Mahindra Xylo D2,2009,"3,00,000","62,000 kms",Diesel,Automatic,Third Owner
Hyundai Grand i10 Asta 1.2 Kappa VTVT,2014,"3,20,000","41,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Alto 800 Lxi,2015,"2,65,000","14,000 kms",Petrol,Manual,First Owner
Toyota Corolla,2006,"1,60,000","40,000 kms",Petrol,Manual,Second Owner
Hyundai Eon Magna,2017,"3,00,000","1,600 kms",Petrol,Manual,Second Owner
Tata Sumo Grande MKII GX,2010,"1,30,000","90,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift VDi,2011,"2,50,000","58,000 kms",Diesel,Manual,Second Owner
Volkswagen Polo Highline1.2L P,2013,"3,80,000","27,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Alto 800 Lx,2003,42000,"60,000 kms",Petrol,Manual,First Owner
Tata Tiago Revotron XZ,2017,"4,00,000","31,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Swift LDi,2009,"1,20,000","90,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift VDi,2009,"1,20,000","90,000 kms",Diesel,Manual,First Owner
Tata Indigo eCS,2016,"1,30,000","1,50,000 kms",Diesel,Manual,First Owner
Chevrolet Beat LS Diesel,2014,"1,89,000","31,000 kms",Diesel,Manual,First Owner
2012 Tata Sumo Gold f,sell,"2,50,000",,,Automatic,Second Owner
Mahindra Xylo E8 BS IV,2011,"3,65,000","43,000 kms",Diesel,Manual,First Owner
Hyundai Eon D Lite Plus,2013,"1,70,000","20,000 kms",Petrol,Manual,Third Owner
Well mentained Tata Sumo,d Ex,"3,80,000",,,Manual,Second Owner
all paper updated tata indica v2 and u,n...,"1,45,000",,,Manual,Second Owner
Maruti Ertiga showroom condition with,e...,"4,80,000",,,Manual,First Owner
7 SEATER MAHINDRA BOLERO IN VERY GOOD,D...,Ask For Price,,,Manual,Third Owner
9 SEATER MAHINDRA BOL,", Ac",Ask For Price,,,Manual,First Owner
scratch less Tata I,go .,"1,40,000",,,Manual,First Owner
Maruti Suzuki swift dzire for sale in,d...,"3,60,000",,,Manual,First Owner
Commercial Chevrolet beat for sale in,k...,"1,80,000",,,Manual,First Owner
urgent sell my Mahindra qu,o c4,"3,50,000",,,Manual,First Owner
Tata Sumo Gold FX BSIII,2013,"2,15,000","1,00,000 kms",Petrol,Manual,First Owner
sell my car Maruti Suzuki Swif,zire,"3,00,000",,,Manual,Third Owner
Maruti Suzuki Swift Dzire good car fo,o...,"3,10,000",,,Manual,First Owner
Hyunda,cent,Ask For Price,,,Manual,Second Owner
Commercial Maruti Suzuki Alto Lxi 800,...,Ask For Price,,,Manual,Fourth & Above Owner
urgent sale Ta,Sumo,"2,20,000",,,Manual,First Owner
Maruti Suzuki Alto vxi t,cab,95000,,,Manual,First Owner
tata,t xe,Ask For Price,,,Manual,Second Owner
TATA INDI,EV2,"1,10,000",,,Manual,First Owner
Tata Nano,2013,60000,"7,000 kms",Petrol,Manual,First Owner
Hyundai Elite i20,2017,"5,99,999","31,000 kms",Petrol,Manual,Second Owner
Hyundai i10 Magna 1.2 Kappa2,2009,"4,00,000","33,000 kms",Petrol,Manual,Second Owner
Hyundai Creta,2016,"9,00,000","60,000 kms",Diesel,Manual,Second Owner
Volkswagen Polo,2013,"2,99,999","48,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Dzire,2014,"3,74,999","33,000 kms",Petrol,Manual,Fourth & Above Owner
Tata Bolt XM Petrol,2015,"6,00,000","15,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Alto 800 Lx,2005,70000,"47,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Alto,2005,"1,00,000","40,000 kms",Petrol,Manual,First Owner
Hyundai Venue,2019,Ask For Price,"7,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Ritz,2010,"1,50,000","38,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Alto 800 Lxi,2017,"2,25,000","12,500 kms",Petrol,Manual,First Owner
Maruti Suzuki Dzire,2009,"2,10,000","42,000 kms",Petrol,Manual,First Owner
Renault Lodgy,2016,Ask For Price,"20,000 kms",Diesel,Manual,First Owner
Hyundai i20 Asta,2014,"4,25,000","31,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Swift Select Variant,2008,"1,62,000","60,000 kms",Diesel,Manual,First Owner
Tata Indica V2 DLX BS III,2005,60000,"80,000 kms",Diesel,Manual,First Owner
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,2014,"6,50,000","77,000 kms",Diesel,Manual,Second Owner
Toyota Innova 2.5 E 8 STR,2012,"7,50,000","75,000 kms",Diesel,Manual,Second Owner
Mahindra Xylo E8,2010,"3,75,000","40,000 kms",Diesel,Manual,First Owner
Hyundai i20 Magna 1.2,2011,"2,30,000","47,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Omni,2000,35999,"60,000 kms",Petrol,Manual,First Owner
Mahindra KUV100,2016,"3,80,000","26,500 kms",Petrol,Manual,Second Owner
Mahindra KUV100 K8 6 STR,2019,"5,60,000","2,875 kms",Petrol,Manual,First Owner
Datsun Go Plus,2016,"2,85,000","13,900 kms",Petrol,Manual,First Owner
Ford Endeavor 4x4 Thunder Plus,2019,"29,00,000","9,000 kms",Diesel,Manual,First Owner
Tata Indica V2,2005,39999,"80,000 kms",Diesel,Manual,First Owner
Hyundai Santro Xing GL,2006,85000,"60,000 kms",Petrol,Manual,Third Owner
Maruti Suzuki Wagon R 1.0 VXi,2016,"3,95,000","20,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Swift Select Variant,2008,"1,75,000","58,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Alto 800 Lx,2019,"4,00,000","1,500 kms",Petrol,Manual,First Owner
Toyota Innova 2.5 Z Diesel 7 Seater,2011,"7,50,000","75,000 kms",Diesel,Manual,First Owner
Any type car avaiabel hare...comercica,r...,"1,70,000",,,Manual,Second Owner
Maruti Suzuki Alto 800,2016,"2,50,000","2,450 kms",Petrol,Manual,First Owner
Maruti Suzuki Alto AX,2019,"4,25,000","1,625 kms",Petrol,Manual,First Owner
Maruti Suzuki Alto 800 Lx,2019,Ask For Price,"1,500 kms",Petrol,Manual,First Owner
Volkswagen Polo Highline1.2L P,2017,"5,25,000","45,000 kms",Petrol,Manual,Second Owner
Mahindra Logan,2009,"1,30,000","65,000 kms",Diesel,Manual,First Owner
Maruti Suzuki 800 Std BS III,2000,30000,"33,400 kms",Petrol,Manual,Second Owner
Mahindra Scorpio,2011,"4,75,000","60,123 kms",Diesel,Manual,Fourth & Above Owner
Chevrolet Sail 1.2 LS,2013,"3,00,000","28,000 kms",Petrol,Manual,Second Owner
Volkswagen Vento Highline Plus 1.5 Diesel,2015,Ask For Price,"38,900 kms",Diesel,Manual,First Owner
Hyundai Santro AE GLS Audio,2003,60000,"70,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Wagon R VXi Minor,2006,"1,00,000","7,000 kms",Petrol,Manual,First Owner
Hyundai Eon,2018,"2,60,000","25,000 kms",Petrol,Manual,First Owner
Tata Manza,2015,"1,00,000","1,00,000 kms",Diesel,Manual,First Owner
Toyota Innova 2.0 G1 Petrol 8seater,2019,Ask For Price,"4,000 kms",Petrol,Manual,First Owner
Toyota Etios G,2013,"2,65,000","42,000 kms",Petrol,Manual,First Owner
Hyundai Getz Prime 1.3 GLX,2009,"1,15,000","20,000 kms",Petrol,Manual,First Owner
Toyota Qualis,2003,"1,80,000","1,00,000 kms",Diesel,Manual,Third Owner
Hyundai Santro Xing,2004,45000,"1,37,495 kms",Petrol,Manual,First Owner
Tata Indica eV2 LS,2016,50500,"91,200 kms",Diesel,Manual,First Owner
Honda City 1.5 S MT,2009,"2,70,000","55,000 kms",Petrol,Manual,First Owner
Tata Zest XE 75 PS Diesel,2017,"2,90,000","1,20,000 kms",Diesel,Manual,Second Owner
Mahindra Quanto C4,2013,"3,25,000","63,000 kms",Diesel,Manual,First Owner
Tata Indigo eCS LX CR4 BS IV,2016,"1,60,000","1,04,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift Dzire,2016,"3,50,000","1,46,000 kms",Diesel,Manual,First Owner
Hyundai Elite i20,2011,"2,90,000","40,000 kms",Petrol,Manual,First Owner
Hyundai i20 Select Variant,2011,"2,90,000","40,000 kms",Petrol,Manual,First Owner
Chevrolet Tavera Neo,2007,"4,65,000","1,00,800 kms",Diesel,Manual,First Owner
Maruti Suzuki Dzire,2016,"3,25,000","1,50,000 kms",Diesel,Manual,First Owner
Hyundai Elite i20,2018,"5,10,000","2,100 kms",Petrol,Manual,Second Owner
Honda City VX Petrol,2016,"8,60,000","95,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Dzire,2016,"4,50,000","2,500 kms",Diesel,Manual,Second Owner
Hyundai Getz,2006,"1,25,000","80,000 kms",Petrol,Manual,Second Owner
Mercedes Benz C Class 200 K MT,2006,"5,00,001","15,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Alto LXi BS III,2005,95000,"65,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Swift Dzire Tour VDi,2009,"2,50,000","51,000 kms",Diesel,Manual,First Owner
Skoda Fabia,2009,"1,10,000","45,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Alto 800 Select Variant,2015,Ask For Price,"70,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Ritz VXI ABS,2011,"2,70,000","50,000 kms",Petrol,Manual,First Owner
tata zest 2017 f,sale,"4,50,000",,,Manual,First Owner
Tata Indica V2 DLE BS III,2009,"1,10,000","30,000 kms",Diesel,Manual,First Owner
Toyota Corolla Altis,2009,"3,00,000","1,32,000 kms",Petrol,Manual,Third Owner
Ta,zest,"3,10,000",,,Manual,Second Owner
Tata Zest XM Diesel,2018,"2,60,000","27,000 kms",Diesel,Manual,Second Owner
Mahindra Quanto C8,2013,"3,90,000","40,000 kms",Diesel,Manual,Fourth & Above Owner
Honda Amaze 1.2 E i VTEC,2014,"1,80,000",Petrol,,Manual,Second Owner
Chevrolet Sail 1.2 LT ABS,2014,"1,60,000",Petrol,,Manual,Second Owner
Skoda Octavia Ambition 2.0 TDI MT,2015,900000,168000,Diesel,Manual,First Owner
Ford Figo Diesel Titanium,2010,180000,110000,Diesel,Manual,Second Owner
Mahindra Bolero SLX,2010,421000,120000,Diesel,Manual,Second Owner
Tata Indigo CS LX (TDI) BS III,2012,204999,120000,Diesel,Manual,Second Owner
Honda WR-V i-DTEC VX,2017,900000,40000,Diesel,Manual,First Owner
Honda City 2017-2020 GXi,2006,165000,110000,Petrol,Manual,Second Owner
Hyundai i20 Magna 1.4 CRDi,2010,270000,100000,Diesel,Manual,Fourth & Above Owner
Maruti Vitara Brezza VDi,2017,750000,40000,Diesel,Manual,First Owner
Hyundai Elite i20 Petrol Asta Option,2019,750000,30000,Petrol,Manual,First Owner
Maruti 800 Std,2002,40000,80000,Petrol,Manual,Third Owner
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Manual,Second Owner
Toyota Innova 2.5 G4 Diesel 7-seater,2009,395000,200000,Diesel,Manual,Third Owner
Toyota Fortuner 3.0 Diesel,2010,800000,125000,Diesel,Manual,Second Owner
Hyundai i20 1.2 Sportz,2011,315000,80000,Petrol,Manual,First Owner
Audi A4 2.0 TDI,2014,1600000,44000,Diesel,Automatic,Second Owner
Toyota Etios GD,2013,409999,90000,Diesel,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,580000,32000,Petrol,Manual,First Owner
Hyundai i20 Sportz 1.2,2013,340000,70000,Petrol,Manual,First Owner
Hyundai EON Magna Plus,2015,270000,43000,Petrol,Manual,First Owner
Tata Zest Quadrajet 1.3 75PS XE,2017,280000,80000,Diesel,Manual,First Owner
Tata Indica Vista Quadrajet VX,2012,130000,60000,Diesel,Manual,First Owner
Hyundai EON Era Plus,2014,260000,18945,Petrol,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,2018,710000,70000,Diesel,Manual,First Owner
Maruti Eeco Smiles 7 Seater Standard,2013,204999,100000,Petrol,Manual,Third Owner
Datsun GO Plus Anniversary Edition,2017,300000,60000,Petrol,Manual,First Owner
Maruti Swift Dzire VDi,2009,180000,144000,Diesel,Manual,Second Owner
Mahindra TUV 300 T6 Plus,2016,700000,120000,Diesel,Manual,First Owner
Hyundai i20 1.4 CRDi Magna,2012,320000,107825,Diesel,Manual,Second Owner
Maruti Alto 800 VXI Plus,2020,370000,15000,Petrol,Manual,First Owner
Renault KWID RXT Optional,2018,340000,10000,Petrol,Manual,First Owner
Maruti XL6 Alpha,2019,1040000,1620,Petrol,Manual,First Owner
Hyundai i20 Active SX Diesel,2018,750000,30000,Diesel,Manual,First Owner
Mahindra TUV 300 Plus P4 BSIV,2018,600000,70000,Diesel,Manual,First Owner
Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,70000,Diesel,Manual,First Owner
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,600000,95000,Diesel,Manual,Second Owner
Tata Tigor 1.05 Revotorq XZ Option,2017,550000,50000,Diesel,Manual,First Owner
Honda City i DTEC VX Option,2015,750000,160000,Diesel,Manual,First Owner
Hyundai Santro Magna BSIV,2019,450000,10000,Petrol,Manual,First Owner
Maruti Ertiga VDI,2012,400000,100000,Diesel,Manual,Third Owner
Maruti Swift VDI Optional,2016,520000,50000,Diesel,Manual,Second Owner
Maruti Alto K10 Knightracer,2013,199000,60000,Petrol,Manual,Second Owner
Chevrolet Beat Diesel LT,2012,150000,110000,Diesel,Manual,First Owner
Hyundai i20 Active 1.4 SX with AVN,2016,540000,80000,Diesel,Manual,Third Owner
Maruti SX4 ZDI,2011,250000,85000,Diesel,Manual,Second Owner
Maruti Wagon R LXI Minor,2010,200000,90000,Petrol,Manual,Second Owner
Tata Indica V2 2001-2011 eLX,2011,130000,90000,Diesel,Manual,Second Owner
Maruti 800 AC,2007,90000,90000,Petrol,Manual,First Owner
Hyundai Verna 1.6 SX,2012,450000,120000,Diesel,Manual,Second Owner
Hyundai Verna CRDi SX ABS,2009,280000,120000,Diesel,Manual,First Owner
Tata New Safari 3L Dicor LX 4x2,2007,280000,160000,Diesel,Manual,Second Owner
Maruti Zen LXI,2006,120000,141000,Petrol,Manual,Second Owner
Maruti Swift Ldi BSIII,2008,290000,100000,Diesel,Manual,Second Owner
Hyundai Creta 1.4 EX Diesel,2019,1000000,15000,Diesel,Manual,First Owner
Maruti Swift Dzire VDi,2012,415000,108000,Diesel,Manual,First Owner
Maruti Swift Dzire VDI,2012,415000,108000,Diesel,Manual,First Owner
Chevrolet Beat Diesel LT,2015,240000,55000,Diesel,Manual,First Owner
Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2010,250000,37944,Diesel,Manual,First Owner
Ford Figo Diesel EXI,2011,175000,90400,Diesel,Manual,First Owner
Hyundai Verna CRDi SX,2008,220000,85000,Diesel,Manual,Second Owner
Maruti Zen D,2003,85000,120000,Diesel,Manual,Third Owner
Maruti Swift Dzire VXI 1.2,2019,675000,5000,Petrol,Manual,First Owner
Renault Duster 85PS Diesel RxL,2016,535000,50000,Diesel,Manual,First Owner
Renault Triber RXZ BSIV,2019,675000,5000,Petrol,Manual,First Owner
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,800000,90000,Diesel,Manual,First Owner
Maruti Ertiga ZDI,2012,425000,96000,Diesel,Manual,Second Owner
Maruti Eeco 5 Seater AC BSIV,2011,150000,80000,Petrol,Manual,Third Owner
Maruti Zen Estilo 1.1 LXI BSIII,2007,90000,60000,Petrol,Manual,Second Owner
Mahindra XUV500 W6 2WD,2015,850000,90000,Diesel,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2008,330000,193623,Diesel,Manual,Second Owner
Hyundai i20 1.4 Asta Option,2017,850000,63186,Diesel,Manual,First Owner
Mahindra Bolero SLX,2008,305000,219000,Diesel,Manual,Second Owner
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,910000,110000,Diesel,Manual,Second Owner
Toyota Innova 2.5 VX 8 STR,2012,1100000,151000,Diesel,Manual,First Owner
Maruti Baleno Zeta Automatic,2019,675000,5000,Petrol,Automatic,First Owner
Maruti Alto LXi BSIII,2010,150000,91500,Petrol,Manual,First Owner
Maruti Swift VDI BSIV,2015,550000,23000,Diesel,Manual,First Owner
Volkswagen Vento Diesel Highline,2012,350000,40000,Diesel,Manual,First Owner
Maruti Ritz VDi,2012,300000,70000,Diesel,Manual,First Owner
Toyota Innova Crysta 2.8 GX AT BSIV,2018,1745000,10000,Diesel,Automatic,First Owner
Mahindra Scorpio 2009-2014 EX 2WD 7S,2014,611000,90000,Diesel,Manual,Second Owner
Honda Brio S MT,2016,400000,68000,Petrol,Manual,First Owner
Hyundai Elantra CRDi SX,2013,700000,120000,Diesel,Manual,First Owner
Chevrolet Sail Hatchback LS ABS,2013,300000,65000,Diesel,Manual,First Owner
Hyundai Getz GLS,2005,65000,85000,Petrol,Manual,First Owner
Maruti Wagon R VXI BS IV,2011,200000,94000,Petrol,Manual,Third Owner
Hyundai i20 Asta Option 1.4 CRDi,2015,650000,100000,Diesel,Manual,First Owner
Hyundai i20 Asta Option 1.4 CRDi,2015,650000,80000,Diesel,Manual,First Owner
Volkswagen Polo Diesel Trendline 1.2L,2013,350000,80000,Diesel,Manual,Third Owner
Tata Indica V2 DL BSIII,2011,75000,140500,Diesel,Manual,Third Owner
Maruti Swift Dzire VXi,2010,240000,143000,Petrol,Manual,First Owner
Maruti Alto K10 2010-2014 VXI,2013,240000,60000,Petrol,Manual,First Owner
Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2011,180000,120000,Diesel,Manual,Second Owner
Hyundai Santa Fe 4WD AT,2014,900000,80000,Diesel,Automatic,Second Owner
Mahindra Thar DI 4X4,2014,425000,63000,Diesel,Manual,Second Owner
Chevrolet Spark 1.0 LT,2009,95000,120000,Petrol,Manual,Third Owner
Maruti Swift Dzire VDI,2018,811000,100000,Diesel,Manual,First Owner
Hyundai Verna VTVT 1.6 SX Option,2018,1100000,60000,Petrol,Manual,First Owner
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2013,600000,90000,Diesel,Manual,First Owner
Maruti Ertiga VDI,2014,550000,50000,Diesel,Manual,Second Owner
