,name,year,Price,kms_driven,fuel_type,transmission,owner
1357,Honda Civic 1.8,2007,245000,90000,Petrol,Manual,Third Owner
1358,Maruti Alto K10,2012,250000,90000,Petrol,Manual,First Owner
1359,Hyundai i20 Active,2016,651000,42323,Diesel,Manual,First Owner
1360,Honda City V,2013,480000,42462,Petrol,Manual,First Owner
1361,Maruti Swift VDI,2015,470000,54723,Diesel,Manual,First Owner
1362,Honda Jazz 1.5,2016,500000,30000,Diesel,Manual,First Owner
1363,BMW X1 sDrive20d,2011,1075000,42545,Diesel,Automatic,First Owner
1364,Maruti S-Cross 2017-2020,2016,690000,32000,Diesel,Manual,First Owner
1365,Maruti Swift Dzire,2017,589000,41232,Diesel,Manual,First Owner
1366,Maruti Swift Dzire,2017,589000,41232,Diesel,Manual,First Owner
1367,Maruti Ignis 1.2,2018,480000,20375,Petrol,Manual,First Owner
1368,Maruti Swift ZDI,2013,450000,43978,Diesel,Manual,Second Owner
1369,Maruti Vitara Brezza,2018,770000,50000,Diesel,Manual,First Owner
1370,Mahindra Bolero B4,2015,445000,40200,Diesel,Manual,First Owner
1371,Hyundai i20 1.2,2018,700000,30000,Petrol,Manual,First Owner
1372,Maruti Ertiga ZDI,2014,560000,90000,Diesel,Manual,First Owner
1373,Ford Ecosport Sports,2013,475000,48000,Diesel,Manual,Second Owner
1374,Honda Amaze E,2014,465000,27233,Diesel,Manual,First Owner
1375,Maruti Swift Dzire,2017,520000,28832,Diesel,Manual,First Owner
1376,Tata Manza Aura,2011,225000,35000,Petrol,Manual,First Owner
1377,Maruti Ertiga ZXI,2015,700000,35000,Petrol,Manual,First Owner
1378,Maruti Vitara Brezza,2017,780000,40000,Diesel,Manual,First Owner
1379,Honda City 2017-2020,2006,93150,80000,Petrol,Manual,Second Owner
1380,Mahindra Quanto C4,2016,403000,30000,Diesel,Manual,Second Owner
1381,Hyundai i10 Era,2009,229999,50000,Petrol,Manual,Second Owner
1382,Maruti Swift Dzire,2016,525000,40000,Diesel,Manual,Second Owner
1383,Maruti Ertiga VXI,2014,560000,25000,Petrol,Manual,First Owner
1384,Mahindra XUV500 W7,2020,830000,120000,Diesel,Manual,First Owner
1385,Maruti Ritz VDi,2011,250000,60000,Diesel,Manual,Second Owner
1386,Mahindra Bolero 2011-2019,2014,450000,110000,Diesel,Manual,First Owner
1387,Mahindra Scorpio 1.99,2016,745000,67000,Diesel,Manual,First Owner
1388,Ford Figo Diesel,2010,144000,50000,Diesel,Manual,Second Owner
1389,Maruti Zen Estilo,2008,120000,40000,Petrol,Manual,First Owner
1390,Tata New Safari,2008,300000,120000,Diesel,Manual,Second Owner
1391,Maruti 800 DX,1999,52000,100000,Petrol,Manual,First Owner
1392,Mahindra Scorpio 2.6,2003,300000,98000,Diesel,Manual,First Owner
1393,Mahindra Bolero DI,2009,270000,150000,Diesel,Manual,Second Owner
1394,Chevrolet Sail LT,2014,260000,38000,Diesel,Manual,First Owner
1395,Toyota Etios GD,2015,475000,120000,Diesel,Manual,First Owner
1396,Ford Figo Diesel,2011,302000,103000,Diesel,Manual,Third Owner
1397,Maruti 800 AC,1994,45000,60000,Petrol,Manual,First Owner
1398,Maruti Vitara Brezza,2017,775000,80000,Diesel,Manual,First Owner
1399,Maruti Ertiga VDI,2015,700000,50000,Diesel,Manual,First Owner
1400,Maruti Swift VDI,2014,530000,90000,Diesel,Manual,First Owner
1401,Tata Nexon 1.5,2017,869999,70000,Diesel,Manual,First Owner
1402,Hyundai Elantra CRDi,2006,155000,110000,Diesel,Manual,Fourth & Above Owner
1403,Tata Tiago 1.2,2019,550000,30000,Petrol,Automatic,First Owner
1404,Maruti Swift Dzire,2016,600000,80000,Diesel,Manual,Second Owner
1405,Maruti Swift Dzire,2012,430000,110000,Diesel,Manual,Second Owner
1406,Tata Manza Aura,2010,246000,120000,Diesel,Manual,First Owner
1407,Maruti Zen VXi,2003,120000,120000,Petrol,Manual,Third Owner
1408,Hyundai i20 Asta,2014,565000,70000,Petrol,Manual,Second Owner
1409,Hyundai Elite i20,2018,850000,60000,Diesel,Manual,First Owner
1410,Maruti Alto LXi,2006,160000,90000,Petrol,Manual,First Owner
1411,Fiat Linea Classic,2014,325000,142500,Diesel,Manual,First Owner
1412,Mahindra Scorpio VLX,2011,450000,90000,Diesel,Manual,Third Owner
1413,Hyundai i10 Sportz,2015,310000,50000,Petrol,Manual,First Owner
1414,Honda Amaze S,2013,250000,90000,Diesel,Manual,Third Owner
1415,Maruti Swift Dzire,2015,420000,115000,Diesel,Manual,Second Owner
1416,Hyundai i20 Sportz,2013,330000,150000,Petrol,Automatic,Second Owner
1417,Maruti Swift VXI,2015,405000,68000,Petrol,Manual,Second Owner
1418,Mahindra Bolero 2011-2019,2013,400000,90000,Diesel,Manual,Second Owner
1419,Honda City V,2010,409999,110000,Petrol,Automatic,Third Owner
1420,Mahindra Bolero 2011-2019,2013,500000,70000,Diesel,Manual,Second Owner
1421,Mahindra XUV500 W8,2011,590000,80000,Diesel,Manual,Third Owner
1422,Hyundai Santro Xing,2006,80000,118000,Petrol,Manual,First Owner
1423,Hyundai i10 Era,2007,135000,100000,Petrol,Manual,Second Owner
1424,Maruti Wagon R,2004,70000,70000,Petrol,Manual,Second Owner
1425,Maruti 800 Std,2004,45000,77000,Petrol,Manual,Third Owner
1426,Maruti Swift Dzire,2018,650000,35500,Diesel,Manual,First Owner
1427,Maruti Wagon R,2018,400000,17500,Petrol,Manual,First Owner
1428,Maruti Alto K10,2017,350000,27000,Petrol,Manual,First Owner
1429,Hyundai Grand i10,2017,550000,60000,Diesel,Manual,First Owner
1430,Maruti Wagon R,2016,350000,25000,Petrol,Manual,First Owner
1431,Maruti Swift Dzire,2015,459999,80000,Diesel,Manual,First Owner
1432,Maruti Alto LXi,2012,185000,60000,Petrol,Manual,Second Owner
1433,Volkswagen Polo Diesel,2013,550000,38000,Diesel,Manual,First Owner
1434,Maruti Wagon R,2012,300000,100000,LPG,Manual,Second Owner
1435,Maruti Omni E,2012,175000,60000,Petrol,Manual,Third Owner
1436,Toyota Innova 2.5,2011,900000,110000,Diesel,Manual,First Owner
1437,Honda BR-V i-DTEC,2016,900000,92000,Diesel,Manual,First Owner
1438,Mahindra Bolero 2011-2019,2012,550000,180000,Diesel,Manual,Third Owner
1439,Maruti Baleno Zeta,2018,625000,10000,Petrol,Manual,First Owner
1440,Maruti Alto 800,2017,310000,35000,Petrol,Manual,Second Owner
1441,Maruti Swift DDiS,2017,500000,35000,Diesel,Manual,First Owner
1442,Hyundai Grand i10,2016,610000,23000,Diesel,Manual,First Owner
1443,Tata Indigo CS,2012,150000,150000,Diesel,Manual,Third Owner
1444,Hyundai Xcent 1.1,2015,480000,70000,Diesel,Manual,First Owner
1445,Hyundai i20 1.2,2017,650000,40000,Petrol,Manual,First Owner
1446,Hyundai i20 1.4,2012,290000,100000,Diesel,Manual,Second Owner
1447,Maruti Alto 800,2017,300000,50000,Petrol,Manual,Second Owner
1448,Maruti Swift Dzire,2010,270000,120000,Diesel,Manual,Fourth & Above Owner
1449,Hyundai Xcent 1.1,2015,400000,60000,Diesel,Manual,Second Owner
1450,Maruti Alto 800,2015,280000,28000,Petrol,Manual,Second Owner
1451,Maruti Swift Dzire,2009,250000,60000,Petrol,Manual,Third Owner
1452,Maruti Swift Dzire,2012,495000,80000,Diesel,Manual,Second Owner
1453,Ford Endeavour 3.2,2018,3250000,12000,Diesel,Automatic,First Owner
1454,Honda Amaze V,2019,700000,4500,Petrol,Manual,First Owner
1455,Tata Indigo eCS,2013,310000,70000,Diesel,Manual,First Owner
1456,Renault Duster 85PS,2017,650000,120000,Diesel,Manual,First Owner
1457,Honda Jazz 1.2,2015,600000,80000,Petrol,Automatic,First Owner
1458,Tata New Safari,2009,150000,150000,Diesel,Manual,Fourth & Above Owner
1459,Mahindra Renault Logan,2009,135000,120000,Petrol,Manual,First Owner
1460,Maruti Swift Dzire,2014,650000,50000,Diesel,Manual,First Owner
1461,Honda City V,2012,550000,83000,Petrol,Manual,First Owner
1462,Maruti Swift Dzire,2017,650000,20000,Diesel,Manual,First Owner
1463,Toyota Fortuner 2.8,2018,2900000,49000,Diesel,Automatic,First Owner
1464,Honda Brio 1.2,2017,450000,6750,Petrol,Manual,First Owner
1465,Maruti Ciaz VXi,2015,650000,26000,Petrol,Manual,First Owner
1466,Hyundai Grand i10,2017,430000,52000,Petrol,Manual,First Owner
1467,Hyundai Creta 1.6,2017,1143000,51000,Diesel,Automatic,First Owner
1468,Maruti Swift AMT,2019,700000,20000,Petrol,Automatic,First Owner
1469,Maruti Ritz VXi,2011,229999,18500,Petrol,Manual,First Owner
1470,Mahindra TUV 300,2017,509999,142000,Diesel,Manual,First Owner
1471,Ford EcoSport 1.5,2016,670000,50478,Petrol,Manual,First Owner
1472,Tata Tiago 1.2,2019,525000,9200,Petrol,Automatic,First Owner
1473,Renault Duster 85PS,2016,515000,40000,Diesel,Manual,First Owner
1474,Maruti Baleno Delta,2020,630000,5000,Petrol,Manual,First Owner
1475,Datsun RediGO A,2019,270000,2300,Petrol,Manual,First Owner
1476,Maruti Alto 800,2016,300000,40000,Petrol,Manual,First Owner
1477,Mahindra Xylo D2,2012,250000,119000,Diesel,Manual,First Owner
1478,Maruti Alto LX,2005,90000,100000,Petrol,Manual,Fourth & Above Owner
1479,Maruti Ertiga SHVS,2017,750000,100000,Diesel,Manual,First Owner
1480,Maruti Wagon R,2009,135000,50000,Petrol,Manual,Second Owner
1481,Maruti Eeco Smiles,2013,275000,80000,Petrol,Manual,Second Owner
1482,Tata Nexon 1.2,2018,740000,15000,Petrol,Manual,First Owner
1483,Honda Amaze S,2019,690000,1303,Petrol,Manual,First Owner
1484,Audi Q5 35TDI,2018,3975000,31800,Diesel,Automatic,First Owner
1485,Lexus ES 300h,2019,5150000,20000,Petrol,Automatic,First Owner
1486,Jaguar XF 2.0,2017,3200000,45000,Diesel,Automatic,First Owner
1487,Jeep Wrangler 2016-2019,2017,4100000,17000,Petrol,Automatic,First Owner
1488,Toyota Yaris V,2018,1000000,4295,Petrol,Manual,First Owner
1489,Toyota Yaris V,2018,1000000,5229,Petrol,Manual,First Owner
1490,Hyundai Grand i10,2019,550000,4701,Petrol,Manual,First Owner
1491,Maruti Baleno Alpha,2016,600000,6757,Petrol,Manual,First Owner
1492,Skoda Rapid 1.6,2016,675000,28182,Petrol,Automatic,First Owner
1493,Nissan Kicks XV,2019,950000,11533,Petrol,Manual,First Owner
1494,Honda City i,2017,850000,11688,Petrol,Manual,First Owner
1495,Toyota Camry 2.5,2016,2000000,68089,Petrol,Automatic,First Owner
1496,Toyota Corolla Altis,2012,550000,57728,Petrol,Automatic,First Owner
1497,Maruti Ciaz 1.3,2018,925000,23712,Diesel,Manual,First Owner
1498,Ford Ecosport 1.5,2015,625000,70670,Petrol,Automatic,First Owner
1499,Maruti Alto 800,2014,200000,43381,Petrol,Manual,Second Owner
1500,Honda City i,2014,635000,79011,Petrol,Automatic,First Owner
1501,Honda Jazz VX,2016,550000,56494,Petrol,Manual,First Owner
1502,Maruti SX4 VDI,2014,425000,50000,Diesel,Manual,Second Owner
1503,Maruti Wagon R,2011,220000,40000,Petrol,Manual,First Owner
1504,Hyundai Grand i10,2018,590000,10000,Petrol,Manual,First Owner
1505,Mahindra Thar CRDe,2017,775000,35000,Diesel,Manual,First Owner
1506,Maruti Ritz VXi,2015,350000,58500,Petrol,Manual,First Owner
1507,Maruti Baleno Delta,2018,575000,20000,Petrol,Manual,First Owner
1508,Nissan Micra XL,2011,200000,43500,Petrol,Manual,Second Owner
1509,Tata Hexa XT,2018,1575000,30000,Diesel,Manual,First Owner
1510,Ford EcoSport 1.5,2015,600000,63000,Diesel,Manual,First Owner
1511,Mahindra Bolero 2011-2019,2016,720000,35000,Diesel,Manual,First Owner
1512,Tata Indigo eCS,2012,158000,110000,Diesel,Manual,Second Owner
1513,Tata Hexa XT,2018,1575000,25000,Diesel,Manual,First Owner
1514,Hyundai Xcent 1.2,2017,580000,30000,Petrol,Automatic,First Owner
1515,Mahindra Bolero 2011-2019,2012,420000,50000,Diesel,Manual,First Owner
1516,Mahindra Marazzo M6,2018,1200000,35000,Diesel,Manual,First Owner
1517,Renault KWID 1.0,2018,350000,30000,Petrol,Manual,First Owner
1518,Honda City i,2014,650000,56000,Petrol,Manual,First Owner
1519,Maruti Wagon R,2017,400000,12700,Petrol,Manual,First Owner
1520,Tata Nexon 1.5,2018,700000,35000,Diesel,Manual,First Owner
1521,Hyundai Xcent 1.2,2017,520000,30000,Petrol,Manual,First Owner
1522,Mahindra Scorpio LX,2012,450000,120000,Diesel,Manual,First Owner
1523,Tata Safari Storme,2017,850000,100000,Diesel,Manual,First Owner
1524,Renault KWID RXT,2017,350000,34000,Petrol,Manual,First Owner
1525,Mahindra Xylo D2,2011,450000,56000,Diesel,Manual,First Owner
1526,Hyundai i10 Era,2008,165000,90000,Petrol,Manual,First Owner
1527,Hyundai Santro Xing,2010,160000,65000,Petrol,Manual,Second Owner
1528,Tata New Safari,2011,300000,80000,Diesel,Manual,First Owner
1529,Mahindra Scorpio VLX,2012,550000,90000,Diesel,Manual,Third Owner
1530,Maruti Alto K10,2015,285000,40000,Petrol,Manual,First Owner
1531,Hyundai Creta 1.6,2016,850000,58000,Diesel,Manual,First Owner
1532,Ford Freestyle Titanium,2018,700000,19100,Petrol,Manual,First Owner
1533,Maruti Ertiga ZXI,2018,900000,25000,Petrol,Manual,First Owner
1534,Maruti Alto LXi,2005,180000,49455,Petrol,Manual,First Owner
1535,Hyundai EON D,2016,220000,100000,Petrol,Manual,First Owner
1536,Tata Indica Vista,2013,120000,120000,Diesel,Manual,First Owner
1537,Hyundai i20 Asta,2010,220000,90000,Petrol,Manual,Fourth & Above Owner
1538,Chevrolet Sail Hatchback,2013,420000,46815,Diesel,Manual,Second Owner
1539,Tata Indica Vista,2013,160000,110000,Diesel,Manual,First Owner
1540,Hyundai EON Era,2015,250000,80000,Petrol,Manual,First Owner
1541,Maruti Ertiga ZDI,2013,385000,100000,Diesel,Manual,Third Owner
1542,Maruti Wagon R,2014,318000,80000,Petrol,Manual,First Owner
1543,Hyundai Xcent 1.2,2018,480000,40000,Petrol,Manual,First Owner
1544,Maruti Celerio VXI,2015,330000,70000,Petrol,Manual,Third Owner
1545,Tata Indica Vista,2011,152000,80000,Diesel,Manual,First Owner
1546,Maruti Alto 800,2014,250000,40000,Petrol,Manual,First Owner
1547,Tata Indica Vista,2011,248000,80000,Diesel,Manual,First Owner
1548,Nissan Micra XV,2011,300000,60000,Petrol,Manual,Second Owner
1549,Hyundai i20 1.2,2017,550000,50000,Petrol,Manual,First Owner
1550,Hyundai i20 Sportz,2016,650000,30000,Diesel,Manual,First Owner
1551,Hyundai Grand i10,2017,445000,25000,Petrol,Manual,First Owner
1552,Toyota Innova 2.5,2010,450000,334000,Diesel,Manual,First Owner
1553,Mahindra NuvoSport N8,2016,600000,100000,Diesel,Manual,First Owner
1554,Renault Duster Adventure,2014,495000,175000,Diesel,Manual,First Owner
1555,Maruti SX4 ZXI,2011,220000,65000,Petrol,Automatic,Third Owner
1556,Maruti SX4 ZXI,2011,260000,65000,Petrol,Automatic,Third Owner
1557,Hyundai Santro Xing,2009,150000,90000,Petrol,Manual,First Owner
1558,Ford Figo Diesel,2011,200000,80000,Diesel,Manual,Second Owner
1559,Mahindra Scorpio S11,2018,1465000,110000,Diesel,Manual,First Owner
1560,Toyota Etios Liva,2012,285000,80000,Diesel,Manual,Second Owner
1561,Honda Civic Hybrid,2008,250000,60000,Petrol,Automatic,Third Owner
1562,Mahindra Xylo D4,2014,310000,160000,Diesel,Manual,First Owner
1563,Mahindra Scorpio VLX,2010,600000,100875,Diesel,Automatic,First Owner
1564,Maruti Baleno Delta,2018,560000,20000,Petrol,Manual,First Owner
1565,Maruti Swift Dzire,2016,500000,30000,Petrol,Manual,First Owner
1566,Hyundai Grand i10,2013,270000,118000,Diesel,Manual,First Owner
1567,Hyundai Verna 1.6,2013,420000,69000,Diesel,Manual,Third Owner
1568,Maruti Swift Dzire,2015,434999,25000,Petrol,Manual,Second Owner
1569,Hyundai Xcent 1.2,2015,400000,100000,Petrol,Automatic,First Owner
1570,Maruti Swift Dzire,2015,470000,110000,Diesel,Manual,First Owner
1571,Nissan Terrano XL,2015,480000,60000,Diesel,Manual,Third Owner
1572,Hyundai Santro Xing,2008,105000,128000,Petrol,Manual,First Owner
1573,Tata Tiago 1.05,2017,325000,120000,Diesel,Manual,First Owner
1574,Toyota Etios Liva,2012,280000,80000,Diesel,Manual,Second Owner
1575,Hyundai Grand i10,2020,675000,5000,Petrol,Automatic,First Owner
1576,Hyundai i10 Sportz,2009,170000,90000,Petrol,Manual,Second Owner
1577,Hyundai Creta 1.6,2017,1250000,90000,Diesel,Manual,First Owner
1578,Honda Accord 2.4,2012,600000,144030,Petrol,Manual,First Owner
1579,Honda City i,2014,819999,200000,Diesel,Manual,First Owner
1580,Hyundai i20 2015-2017,2016,650000,29000,Petrol,Manual,First Owner
1581,Maruti Wagon R,2007,105000,90000,LPG,Manual,Second Owner
1582,Mahindra Renault Logan,2009,200000,176000,Diesel,Manual,Second Owner
1583,Tata Indigo CS,2013,200000,150000,Diesel,Manual,First Owner
1584,Maruti Omni E,2016,220000,90000,Petrol,Manual,First Owner
1585,Volkswagen Vento 1.6,2014,500000,70000,Petrol,Manual,Second Owner
1586,Mahindra Renault Logan,2007,175000,99000,Diesel,Manual,Second Owner
1587,Tata Tiago 1.2,2018,450000,5000,Petrol,Manual,First Owner
1588,Chevrolet Optra Magnum,2008,210000,90000,Diesel,Manual,Fourth & Above Owner
1589,Maruti Ritz VDi,2011,270000,89000,Diesel,Manual,Second Owner
1590,Tata Indica V2,2006,110000,88000,Diesel,Manual,Second Owner
1591,Maruti Swift Dzire,2015,480000,30000,Diesel,Manual,First Owner
1592,Maruti Swift Dzire,2016,650000,50000,Diesel,Automatic,Second Owner
1593,Maruti Swift Dzire,2013,480000,80000,Diesel,Manual,First Owner
1594,Hyundai i20 Asta,2016,700000,40000,Diesel,Manual,First Owner
1595,Maruti Ertiga VDI,2015,650000,110000,Diesel,Manual,Third Owner
1596,Hyundai Creta 1.6,2015,1300000,48000,Diesel,Manual,Second Owner
1597,Volkswagen Jetta 2.0L,2016,1350000,97000,Diesel,Automatic,First Owner
1598,Volkswagen Vento 1.5,2016,1000000,60000,Diesel,Automatic,First Owner
1599,Mercedes-Benz M-Class ML,2011,1700000,110000,Diesel,Automatic,Third Owner
1600,Toyota Yaris V,2018,1080000,12800,Petrol,Automatic,First Owner
1601,Hyundai EON D,2012,170000,40000,Petrol,Manual,First Owner
1602,Maruti Swift DDiS,2017,610000,49000,Diesel,Manual,First Owner
1603,Maruti Ritz VXi,2014,350000,25000,Petrol,Manual,First Owner
1604,Maruti Alto 800,2016,260000,65000,Petrol,Manual,Second Owner
1605,Fiat Linea 1.3,2015,700000,20000,Diesel,Manual,First Owner
1606,Volkswagen Polo 2015-2019,2018,678000,17000,Petrol,Manual,First Owner
1607,Maruti SX4 S,2015,800000,15000,Diesel,Manual,First Owner
1608,Toyota Etios GD,2014,400000,120000,Diesel,Manual,Second Owner
1609,Hyundai i20 Magna,2010,300000,49000,Petrol,Manual,First Owner
1610,Hyundai i20 2015-2017,2016,520000,29000,Petrol,Manual,First Owner
1611,Nissan Terrano XV,2017,850000,55000,Diesel,Automatic,First Owner
1612,Mahindra Marazzo M8,2019,1460000,5000,Diesel,Manual,First Owner
1613,Tata Nexon 1.5,2017,830000,35000,Diesel,Manual,First Owner
1614,Datsun GO T,2018,430000,5000,Petrol,Manual,Second Owner
1615,Ford EcoSport 1.5,2017,850000,60000,Diesel,Manual,First Owner
1616,Maruti Swift Dzire,2017,650000,70000,Petrol,Manual,First Owner
1617,Hyundai Verna CRDi,2008,120000,120000,Diesel,Manual,Second Owner
1618,Mahindra TUV 300,2016,730000,65100,Diesel,Manual,Second Owner
1619,Maruti Ignis 1.2,2019,525000,20000,Petrol,Automatic,First Owner
1620,Hyundai i20 Active,2015,600000,108000,Diesel,Manual,First Owner
1621,Maruti Swift LXI,2019,500000,15000,Petrol,Manual,First Owner
1622,Hyundai Santro Xing,2009,150000,77000,Petrol,Manual,First Owner
1623,Maruti Wagon R,2015,409999,18500,Petrol,Manual,First Owner
1624,Mahindra TUV 300,2016,625000,120000,Diesel,Manual,First Owner
1625,Renault KWID RXT,2015,290000,15200,Petrol,Manual,First Owner
1626,Honda Mobilio V,2015,500000,35000,Petrol,Manual,First Owner
1627,Hyundai Verna 1.6,2011,475000,80000,Diesel,Manual,First Owner
1628,Hyundai EON Era,2013,190000,70000,Petrol,Manual,First Owner
1629,Mahindra XUV500 W6,2014,750000,80000,Diesel,Manual,Second Owner
1630,Nissan Terrano XV,2014,525000,120000,Diesel,Manual,Second Owner
1631,Chevrolet Cruze LTZ,2012,495000,82000,Diesel,Manual,Third Owner
1632,Jaguar XE 2016-2019,2017,2625000,9000,Diesel,Automatic,First Owner
1633,Lexus ES 300h,2019,5150000,20000,Petrol,Automatic,First Owner
1634,Jaguar XF 2.0,2017,3200000,45000,Diesel,Automatic,First Owner
1635,Tata Safari Storme,2015,503000,110000,Diesel,Manual,First Owner
1636,Volvo XC40 D4,2019,3800000,20000,Diesel,Automatic,First Owner
1637,Toyota Camry 2.5,2016,2000000,68089,Petrol,Automatic,First Owner
1638,Maruti Wagon R,2013,225000,58343,Petrol,Manual,First Owner
1639,Maruti Baleno Alpha,2018,740000,38817,Diesel,Manual,First Owner
1640,Honda Jazz VX,2016,550000,56494,Petrol,Manual,First Owner
1641,Toyota Innova 2.5,2013,750000,79328,Diesel,Manual,Second Owner
1642,Maruti Swift AMT,2019,650000,5621,Petrol,Automatic,First Owner
1643,Toyota Etios VX,2017,625000,25538,Petrol,Manual,First Owner
1644,Maruti Swift AMT,2018,600000,69779,Petrol,Automatic,First Owner
1645,Hyundai Grand i10,2017,450000,56290,Diesel,Manual,First Owner
1646,BMW X4 M,2019,5400000,7500,Diesel,Automatic,First Owner
1647,BMW X4 M,2019,5500000,8500,Diesel,Automatic,First Owner
1648,Honda Amaze V,2019,779000,7032,Petrol,Automatic,First Owner
1649,Skoda Rapid 1.6,2016,645000,11000,Petrol,Automatic,First Owner
1650,Volvo V40 D3,2018,2475000,2000,Diesel,Automatic,First Owner
1651,Honda City 1.5,2010,321000,60000,Petrol,Automatic,Second Owner
1652,Toyota Etios Liva,2017,585000,50000,Petrol,Manual,First Owner
1653,Ford Figo Diesel,2011,225000,70000,Diesel,Manual,First Owner
1654,Honda Amaze E,2017,500000,70000,Diesel,Manual,First Owner
1655,Hyundai i20 1.4,2011,350000,90000,Diesel,Manual,Third Owner
1656,Maruti Ertiga SHVS,2016,756000,70000,Diesel,Manual,Second Owner
1657,Maruti Alto 800,2014,240000,50000,Petrol,Manual,First Owner
1658,Maruti Omni 8,2012,80000,120000,Petrol,Manual,Second Owner
1659,Hyundai i20 Active,2019,800000,5000,Petrol,Manual,First Owner
1660,Tata Hexa XE,2018,1250000,25000,Diesel,Manual,First Owner
1661,Mahindra Scorpio VLS,2009,320000,80000,Diesel,Manual,Third Owner
1662,Hyundai Grand i10,2017,509999,25000,Petrol,Manual,First Owner
1663,Tata Zest Quadrajet,2019,650000,15000,Diesel,Manual,First Owner
1664,Maruti Alto K10,2011,210000,35000,Petrol,Manual,Second Owner
1665,Maruti Alto LXi,2008,110000,80000,Petrol,Manual,Second Owner
1666,Tata Nexon 1.5,2017,665000,25000,Diesel,Manual,First Owner
1667,Volkswagen Ameo 1.5,2017,555000,52000,Diesel,Manual,First Owner
1668,Volkswagen Ameo 1.5,2017,560000,52000,Diesel,Manual,First Owner
1669,Mahindra KUV 100,2016,375000,80000,Diesel,Manual,First Owner
1670,Maruti Swift VDI,2011,290000,77000,Diesel,Manual,Second Owner
1671,Toyota Fortuner 2.8,2017,2950000,50000,Diesel,Automatic,First Owner
1672,Maruti Swift Dzire,2017,605000,127000,Diesel,Manual,First Owner
1673,Honda WR-V i-VTEC,2017,720000,30000,Petrol,Manual,First Owner
1674,Maruti Ertiga SHVS,2017,800000,70000,Diesel,Manual,First Owner
1675,Mahindra XUV500 W10,2017,1325000,54000,Diesel,Manual,First Owner
1676,Mitsubishi Pajero 2.8,2011,625000,120000,Diesel,Manual,Second Owner
1677,Hyundai i20 1.4,2011,350000,116500,Diesel,Manual,First Owner
1678,Toyota Innova 2.5,2012,600000,145000,Diesel,Manual,Second Owner
1679,Hyundai i20 Sportz,2012,300000,120000,Petrol,Manual,First Owner
1680,Tata New Safari,2011,240000,120000,Diesel,Manual,First Owner
1681,Ford Figo 1.5D,2016,377000,80000,Diesel,Manual,First Owner
1682,Maruti Ertiga VXI,2013,450000,140000,Petrol,Manual,First Owner
1683,Hyundai Verna Xi,2008,160000,100000,Petrol,Manual,Fourth & Above Owner
1684,Hyundai Xcent 1.2,2019,525000,100000,Petrol,Manual,First Owner
1685,Toyota Innova 2.5,2011,550000,168000,Diesel,Manual,Second Owner
1686,Chevrolet Cruze LTZ,2010,270000,120000,Diesel,Manual,Third Owner
1687,Toyota Etios GD,2016,570000,145000,Diesel,Manual,Second Owner
1688,Ford Figo Diesel,2011,225000,90000,Diesel,Manual,Second Owner
1689,Hyundai Xcent 1.2,2019,590000,90000,Petrol,Manual,First Owner
1690,Jeep Compass 2.0,2018,1675000,80000,Diesel,Manual,First Owner
1691,Ford Aspire Titanium,2019,800000,33000,Petrol,Manual,First Owner
1692,Chevrolet Sail 1.2,2014,450000,13500,Petrol,Manual,First Owner
1693,Tata Indigo LX,2012,300000,80000,Diesel,Manual,First Owner
1694,Hyundai i20 1.2,2017,645000,20000,Petrol,Manual,First Owner
1695,Maruti Swift Dzire,2013,520000,58000,Diesel,Manual,First Owner
1696,Hyundai EON Magna,2013,200000,40000,Petrol,Manual,First Owner
1697,Honda City i,2015,700000,30000,Petrol,Manual,First Owner
1698,Maruti 800 AC,2000,45000,50000,Petrol,Manual,Second Owner
1699,Ford Figo Aspire,2016,459999,73000,Diesel,Manual,First Owner
1700,Maruti Ritz VDi,2014,325000,90000,Diesel,Manual,Second Owner
1701,Maruti Wagon R,2015,350000,50000,Petrol,Manual,Second Owner
1702,Hyundai Verna 1.6,2011,440000,80000,Diesel,Manual,Third Owner
1703,Hyundai i20 1.4,2011,320000,70000,Diesel,Manual,Second Owner
1704,Chevrolet Spark 1.0,2011,169000,41000,Petrol,Manual,First Owner
1705,Volkswagen Polo Petrol,2013,350000,50000,Petrol,Manual,Fourth & Above Owner
1706,Ford Classic 1.4,2014,350000,113226,Diesel,Manual,First Owner
1707,Ford Figo Diesel,2013,310000,90000,Diesel,Manual,Second Owner
1708,Maruti Swift 1.3,2007,150000,70000,Petrol,Manual,Third Owner
1709,Mahindra Scorpio M2DI,2010,420000,160500,Diesel,Manual,Fourth & Above Owner
1710,Maruti Ciaz AT,2015,685000,30000,Petrol,Automatic,First Owner
1711,Renault Duster 4x4,2014,560000,132000,Diesel,Manual,Second Owner
1712,Maruti Swift VDI,2013,470000,120000,Diesel,Manual,Third Owner
1713,Hyundai Verna Transform,2011,380000,80000,Petrol,Manual,Second Owner
1714,Mahindra Scorpio 1.99,2015,670000,57000,Diesel,Manual,Second Owner
1715,Maruti Swift Dzire,2018,550000,5000,Petrol,Manual,First Owner
1716,Hyundai Verna 1.6,2016,749000,25000,Petrol,Manual,First Owner
1717,Hyundai Creta 1.6,2015,899000,80000,Diesel,Manual,Second Owner
1718,Chevrolet Optra Magnum,2011,290000,88000,Diesel,Manual,Third Owner
1719,Toyota Innova 2.5,2014,869999,217000,Diesel,Manual,Second Owner
1720,Datsun GO Plus,2015,350000,60000,Petrol,Manual,First Owner
